Cím;Eredeti cím;Műfaj;Készítés éve;Gyártó országok;Rendező;Szereplők;Magyar korhatárbesorolások
001 - Az első bevetés;Stormbreaker;akció;2006;Nagy-Britannia/USA/Németország;Geoffrey Sax;Mickey Rourke/Alex Pettyfer/Ewan McGregor;II (2006, F/3949/E, 93 perc)
1001 éj rock & roll;Harum Scarum;zenés;1965;USA;Gene Nelson;Elvis Presley/Fran Jeffries/Mary Ann Mobley;II (2005, F/2406/J)
100 halálos lépés;100 Feet;horror;2008;USA;Eric Red;Bobby Cannavale/Ed Westwick/Famke Janssen;IV (2011, F/10940/J, RTL FILMKLUB, 105 perc)
100 millió évvel i. e.;100 Million BC;akció - fantasy;2008;USA;Griff Furst;Michael Gross/Christopher Atkins/Greg Evigan;II (2008, F/7833/J, BUDAPEST FILM)
101 kiskutya;101 Dalmatians;családi;1996;USA;Stephen Herek;Glenn Close/Joely Richardson/Jeff Daniels;Korhatár nélkülI (1997, INTERCOM, 99 perc) / I (2008, F/7920/J, INTERCOM)
101 kiskutya;One Hundred and One Dalmatians;animáció;1960;USA;Wolfgang Reitherman/Clyde Geronimi/Hamilton S. Luske;;Korhatár nélkül (1984, MOKÉP /Felújítás/, 79 perc)
101 kiskutya - Extra változat;101 Dalmations SE;animáció;1961;USA;Wolfgang Reitherman/Hamilton Luske/Clyde Geronimi;;I (2008, F/6631/A, INTERCOM, 79 perc)
101 kiskutya II. - Paca és Agyar;101 Dalmatians II: Patch's London Adventure;animáció;2002;USA;Jim Kammerud/Brian Smith;;I (F/7677/A)
101 Rejkjavik;101 Reykjavík;filmdráma;2000;Izland;Baltasar Kormákur;Hilmir Snar Gu?nason/Hanna María Karlsdóttir/Victoria Abril;Csak 16 éven felülieknek (2002, BUDAPEST FILM, 88 perc) / III (2005, F/0824/J, BUDAPEST FILM)
102 kiskutya;102 Dalmatians;vígjáték;2000;USA;Kevin Lima;Gérard Depardieu/Alice Evans/Glenn Close;Korhatár nélkül (2001, INTERCOM, 100 perc)
10 dolog, amit utálok benned;10 Things I Hate About You;vígjáték;1998;USA;Gil Junger;Larisa Oleynik/Heath Ledger/Julia Stiles;14 éven aluliaknak nem ajánlott (1999, INTERCOM, 98 perc) / II (F/9776/J, INTERCOM, 97 perc)
10 nap szeptemberben;Quelques jours en septembre;filmdráma;2006;Portugália/Franciaország/Olaszország;Santiago Amigorena;Juliette Binoche/Sara Forestier/Tom Riley;III (2007, F/4995/J) / III (2007, F/4995/J, 112 perc)
10 perc: trombita;Ten Minutes Older: The Trumpet;filmdráma;2002;Spanyolország/Nagy-Britannia/Németország;Werner Herzog/Victor Erice/Jim Jarmusch/Chen Kaige/Spike Lee/Wim Wenders/Aki Kaurismäki;Chloë Sevigny/Ana Sofia Lia?o/Markku Peltola;14 éven aluliaknak nem ajánlott (2003, BUDAPEST FILM, 92 perc)
10th & wolf (Véres utcák);10th & Wolf;thriller;2006;USA;Robert Moresco;James Marsden/Brian Dennehy/Leo Rossi;III (2007, F/4753/J, 107 perc)
11:14;11:14;thriller;2003;USA/Kanada;;Hilary Swank/Rachael Leigh Cook/Colin Hanks;III (2005, F/0924/J, INTERCOM)
11 parancsolat;Les 11 Commandements;vígjáték;2004;Franciaország;François Desagnat;Benjamin Morgaine/Michaël Youn/Vincent Desagnat;III (2005, F/1745/J)
127 óra;127 Hours;filmdráma;2010;USA/Nagy-Britannia;Danny Boyle;James Franco/Amber Tamblyn/Kate Mara;III (2011, F/11146/J, BUDAPEST FILM, 94 perc)
1/2 álom;1/2 álom;filmdráma;1990;Magyarország;Rózsa János;Visy Bernadett/Újvári Csaba/Gazdag Zsolt;14 éven aluliaknak nem ajánlott (1991, BUDAPEST FILM-OBJEKTÍV STÚDIÓ, 86 perc)
12 hónap;Dvenadtsat mesyatsev;filmdráma;1972;Szovjetunió;Anatoli Granik;Nikolai Volkov/Larisa Zhvaniya/Marina Maltseva;I (2007, F/4915/J, Fesztiváliroda, 135 perc)
12 majom;12 Monkeys;akció;1995;USA;Terry Gilliam;Brad Pitt/Madeleine Stowe/Bruce Willis;14 éven aluliaknak nem ajánlott (1996, UIP DUNA FILM KFT., 130 perc) / III (2005, F/1622/J)
12 menet;12 Rounds;akció;2009;USA;Renny Harlin;John Cena/Aidan Gillen/Ashley Scott;III (2009, F/9412/J, INTERCOM, 108 perc)
13 - A gyilkos száma;For Sale by Owner;thriller;2005;USA;Pritesh Chheda;Amanda Brown/John Lansch/Trant Batey;IV (2005, F/8623/J, 90 perc) / IV (F/8623/J)
13. emelet;The Thirteenth Floor;sci-fi;1999;USA/Németország;Josef Rusnak;Armin Mueller-Stahl/Craig Bierko/Gretchen Mol; (1999, F/9080/J, 96 perc) / III (F/9080/J)
13 kísértet;Thir13en ghosts;horror;2001;USA;Steve Beck;Shannon Elizabeth/Matthew Lillard/Tony Shalhoub;III (2007, F/4947/J) / Csak 16 éven felülieknek (2001, INTERCOM, 91 perc)
13 nap;Thirteen Days;háborús;2000;USA;Roger Donaldson;Kevin Costner/Shawn Driscoll/Drake Cook;14 éven aluliaknak nem ajánlott (2001, KINOWELT, 145 perc)
1408;1408;horror;2007;USA;Mikael Hafström;Mary McCormack/Samuel L. Jackson/John Cusack;III (2007, F/6408/J)
